ticker,accession,section,pos,neu,neg,sent_score
WHR,000010664024000151,FinancialStatementsNarrative,1.8036578239843948e-06,0.9999951124191284,3.0772268928558333e-06,-1.2735690688714385e-06
WHR,000010664024000151,MD&A,0.00012642618094105273,0.9998493194580078,2.422137913526967e-05,0.00010220480180578306
WHR,000010664024000151,Overview,0.008682317100465298,0.9707788825035095,0.0205388143658638,-0.011856497265398502
WHR,000010664024000151,RiskFactors,0.029791636392474174,0.7166354656219482,0.25357291102409363,-0.22378127463161945
WHR,000010664025000075,FinancialStatementsNarrative,1.8036578239843948e-06,0.9999951124191284,3.0772268928558333e-06,-1.2735690688714385e-06
WHR,000010664025000075,MD&A,8.187071944121271e-05,0.9998929500579834,2.5151677618850954e-05,5.671904182236176e-05
WHR,000010664025000075,Overview,0.9999672174453735,3.1413041142513976e-05,1.284623749597813e-06,0.9999659328216239
WHR,000010664025000075,RiskFactors,0.057753439992666245,0.7735285758972168,0.16871795058250427,-0.11096451058983803
WHR,000010664025000117,FinancialStatementsNarrative,1.8036578239843948e-06,0.9999951124191284,3.0772268928558333e-06,-1.2735690688714385e-06
WHR,000010664025000117,MD&A,0.00012642618094105273,0.9998493194580078,2.422137913526967e-05,0.00010220480180578306
WHR,000010664025000117,Overview,0.9996135830879211,0.0003204765962436795,6.597609171876684e-05,0.9995476069962024
WHR,000010664025000117,RiskFactors,0.04994390904903412,0.6774798631668091,0.2725762128829956,-0.2226323038339615
WHR,000010664025000140,FinancialStatementsNarrative,1.8036578239843948e-06,0.9999951124191284,3.0772268928558333e-06,-1.2735690688714385e-06
WHR,000010664025000140,MD&A,0.00012642618094105273,0.9998493194580078,2.422137913526967e-05,0.00010220480180578306
WHR,000010664025000140,Overview,0.16957907378673553,0.033165980130434036,0.7972549200057983,-0.6276758462190628
WHR,000010664025000140,RiskFactors,0.04994390904903412,0.6774798631668091,0.2725762128829956,-0.2226323038339615
